rho,phi,dphi
47.7800,3.4293170067,-0.1377436338
47.7812,3.4291447250,-0.1379070201
47.7825,3.4289722391,-0.1380705831
47.7837,3.4287995485,-0.1382343230
47.7850,3.4286266532,-0.1383982399
47.7862,3.4284535528,-0.1385623340
47.7875,3.4282802473,-0.1387266055
47.7887,3.4281067362,-0.1388910545
47.7900,3.4279330196,-0.1390556812
47.7912,3.4277590970,-0.1392204856
47.7925,3.4275849683,-0.1393854680
47.7938,3.4274106332,-0.1395506285
47.7950,3.4272360916,-0.1397159672
47.7962,3.4270613432,-0.1398814843
47.7975,3.4268863878,-0.1400471800
47.7987,3.4267112252,-0.1402130544
47.8000,3.4265358551,-0.1403791076
47.8013,3.4263602774,-0.1405453397
47.8025,3.4261844917,-0.1407117511
47.8037,3.4260084979,-0.1408783417
47.8050,3.4258322958,-0.1410451117
47.8062,3.4256558851,-0.1412120613
47.8075,3.4254792655,-0.1413791907
47.8088,3.4253024370,-0.1415464999
47.8100,3.4251253992,-0.1417139892
47.8112,3.4249481520,-0.1418816587
47.8125,3.4247706950,-0.1420495085
47.8137,3.4245930281,-0.1422175387
47.8150,3.4244151511,-0.1423857496
47.8162,3.4242370637,-0.1425541413
47.8175,3.4240587656,-0.1427227139
47.8187,3.4238802568,-0.1428914676
47.8200,3.4237015369,-0.1430604025
47.8212,3.4235226057,-0.1432295188
47.8225,3.4233434630,-0.1433988166
47.8237,3.4231641086,-0.1435682960
47.8250,3.4229845422,-0.1437379573
47.8262,3.4228047636,-0.1439078006
47.8275,3.4226247726,-0.1440778260
47.8288,3.4224445690,-0.1442480337
47.8300,3.4222641525,-0.1444184237
47.8312,3.4220835229,-0.1445889964
47.8325,3.4219026799,-0.1447597517
47.8337,3.4217216234,-0.1449306900
47.8350,3.4215403531,-0.1451018112
47.8363,3.4213588688,-0.1452731156
47.8375,3.4211771702,-0.1454446033
47.8387,3.4209952572,-0.1456162745
47.8400,3.4208131295,-0.1457881293
47.8412,3.4206307868,-0.1459601679
47.8425,3.4204482290,-0.1461323904
47.8438,3.4202654558,-0.1463047969
47.8450,3.4200824669,-0.1464773876
47.8462,3.4198992622,-0.1466501627
47.8475,3.4197158414,-0.1468231223
47.8487,3.4195322043,-0.1469962666
47.8500,3.4193483507,-0.1471695956
47.8512,3.4191642803,-0.1473431097
47.8525,3.4189799928,-0.1475168088
47.8537,3.4187954882,-0.1476906932
47.8550,3.4186107660,-0.1478647630
47.8563,3.4184258262,-0.1480390183
47.8575,3.4182406684,-0.1482134593
47.8587,3.4180552925,-0.1483880862
47.8600,3.4178696981,-0.1485628991
47.8612,3.4176838851,-0.1487378981
47.8625,3.4174978533,-0.1489130835
47.8638,3.4173116023,-0.1490884552
47.8650,3.4171251321,-0.1492640136
47.8662,3.4169384422,-0.1494397587
47.8675,3.4167515326,-0.1496156907
47.8687,3.4165644029,-0.1497918098
47.8700,3.4163770530,-0.1499681160
47.8713,3.4161894826,-0.1501446096
47.8725,3.4160016914,-0.1503212907
47.8737,3.4158136793,-0.1504981594
47.8750,3.4156254459,-0.1506752159
47.8762,3.4154369911,-0.1508524604
47.8775,3.4152483147,-0.1510298929
47.8787,3.4150594163,-0.1512075137
47.8800,3.4148702958,-0.1513853228
47.8812,3.4146809529,-0.1515633205
47.8825,3.4144913874,-0.1517415069
47.8837,3.4143015991,-0.1519198821
47.8850,3.4141115877,-0.1520984463
47.8862,3.4139213529,-0.1522771996
47.8875,3.4137308946,-0.1524561422
47.8887,3.4135402125,-0.1526352742
47.8900,3.4133493063,-0.1528145958
47.8913,3.4131581759,-0.1529941071
47.8925,3.4129668210,-0.1531738083
47.8937,3.4127752413,-0.1533536995
47.8950,3.4125834366,-0.1535337809
47.8962,3.4123914068,-0.1537140526
47.8975,3.4121991514,-0.1538945148
47.8988,3.4120066704,-0.1540751676
47.9000,3.4118139634,-0.1542560111
